id,tier,tier_meaning,title,url,note,used_for
1,B,High-quality analysis,Epoch AI: Total cost of ownership of a one-gigawatt AI data center,https://epoch.ai/data-insights/ai-datacenter-cost-breakdown,"May 2026, with CSVs","Per-$1B capex split (servers, network, facility, land, utility works); annual opex split; 5-yr IT / 14-yr facility lives"
2,C,Industry reporting,ConstructConnect: Data center construction input costs rise significantly,https://news.constructconnect.com/data-center-construction-input-costs-rise-significantly,cites Turner & Townsend 2025 index,"Facility cost shares by trade (electrical 48–54%, mechanical 22–33%, shell 9–14%, GC ~10%); steel pipe +11.1% YoY"
3,B,High-quality analysis,"JLL: North America Data Center Report, Midyear 2026",https://www.jll.com/en-us/insights/market-dynamics/north-america-data-centers,,66 GW under construction in North America; 77% in frontier markets
4,C,Industry reporting,I/O Fund: AI capex to hit $1 trillion,https://io-fund.com/ai-stocks/ai-capex-1-trillion-estimates-too-low,FactSet and Goldman Sachs data,2026 big-four capex guidance $732.5B; $301B spent in H1 2026; Goldman $1.01T for 2027
5,C,Industry reporting,GPUSmith: Hyperscaler AI capex 2026,https://gpusmith.com/articles/en/hyperscaler-ai-capex-2026,,Sum of big-four 2026 guidance midpoints ≈ $710B
6,A,Primary,Comfort Systems USA: Second quarter 2026 results,https://www.businesswire.com/news/home/20260723227439/en/Comfort-Systems-USA-Reports-Second-Quarter-2026-Results,,Comfort Systems backlog $14.06B at 30 Jun 2026 vs $8.12B a year earlier
7,A,Primary,Comfort Systems USA: Q2 2026 earnings call transcript,https://www.investing.com/news/transcripts/earnings-call-transcript-comfort-systems-usa-tops-q2-2026-estimates-stock-slips-93CH-4812224,,Hunt Electric closed 1 May 2026; mechanical profitability; installed-base service as longer-term revenue stream
8,C,Industry reporting,Zacks via TradingView: EMCOR and Comfort Systems backlog,https://www.tradingview.com/news/zacks:ab968b125094b:0-can-record-backlog-strengthen-comfort-systems-revenue-visibility/,,"EMCOR remaining performance obligations $17.14B, +44% YoY"
9,A,Primary,Wesco International: Second quarter 2026 results,https://investors.wesco.com/news-releases/news-release-details/wesco-international-reports-second-quarter-2026-results,,"Wesco data-center sales $1.5B in Q2 2026, ~+45%"
10,C,Industry reporting,"Facilities Dive: CBRE pays $1.2B to expand data center, critical power capabilities",https://www.facilitiesdive.com/news/cbre-pays-12b-to-expand-data-center-critical-power-system-capabilities/804884/,,CBRE ~$1.2B Pearce acquisition to self-perform UPS and generator service
11,C,Industry reporting,"Terrapin Construction Group: Switchgear, transformer and generator lead times in 2026",https://terrapincg.com/news/switchgear-transformer-generator-lead-times-2026,,Equipment lead times: 15 kV switchgear 52–80 wk; pad-mount 40–65 wk; substation 75–110 wk; GSU 100–150+ wk
12,C,Industry reporting,ChargedUp!: Data center transformer shortage,https://chargeduppro.com/post/data-center-transformer-shortage-power-bottleneck-industrial-property-2026,,Transformer relief expected unevenly after 2028
13,C,Industry reporting,Environment+Energy Leader: Grid equipment bottleneck isn't just a data center problem,"https://environmentenergyleader.com/stories/grid-equipment-bottleneck-isnt-just-a-data-center-problem,134481",,Non-data-center demand competing for the same grid equipment
14,D,Vendor marketing or weak signal,POWER Magazine partner content (Maddox): Beating the transformer bottleneck,https://www.powermag.com/partner-content/beating-the-transformer-bottleneck-remanufacturing-build-to-stock-and-smart-procurement/,,Remanufactured pad-mount ships in 1–4 weeks at 10–40% below new (sponsored)
15,D,Vendor marketing or weak signal,CS Diesel Generators: The AI data center boom and the 2026 generator shortage,https://csdieselgenerators.com/the-ai-data-center-boom-and-generator-shortage-lead-times-prices/,,"Generator lead times (≥1,250 kW 52+ wk); used prices 60–75% of new vs 40–50%"
16,C,Industry reporting,"Fierce Network: Data center labor shortage pushes operators to train, poach and automate",https://www.fierce-network.com/cloud/data-center-labor-shortage-pushes-operators-train-poach-and-automate,,NCCER: ~41% of construction workforce retires by 2031
17,D,Vendor marketing or weak signal,The BIRM Group: Data center construction hiring 2026,https://thebirmgroup.com/data-center-construction-boom-2026/,,ABC: 349k / 456k net new workers needed 2026 / 2027; scarcity of supers with live data-center turnovers
18,D,Vendor marketing or weak signal,"iRecruit: Data center construction cost per MW, 2026",https://www.irecruit.co/insights/data-center-construction-cost-per-mw-2026-benchmarks-owners,,Failed integrated systems tests delay projects 3.8 months on average (unverified)
19,C,Industry reporting,Duthie Power: What is the required code to complete load bank testing?,https://www.duthiepower.com/what-is-the-required-code-to-complete-load-bank-testing/,summary of NFPA 110,"NFPA 110 testing: monthly exercise, annual supplemental load test, 36-month full-load for Level 1"
20,D,Vendor marketing or weak signal,OnPoint Generators: Data center generator maintenance best practices,https://onpointgen.com/resources/data-center-generator-maintenance-best-practices/,,"Data-center practice: annual 100% load test, semiannual for Tier III/IV"
21,D,Vendor marketing or weak signal,"Generator Source: The US commercial and industrial generator service market, August 2026",https://generatorsource.com/generator-service/the-u-s-commercial-and-industrial-generator-service-market-august-2026/,,US C&I generator service market $1.8–2.4B/yr; independents mostly single-metro; regional firms $3–25M; 20–100+ generators per AI campus
22,D,Vendor marketing or weak signal,"CT Acquisitions: Buy a generator service business, buyer's playbook",https://ctacquisitions.com/buy-a-business/generator-service/,,Generator service acquisition multiples; technician replacement 12–24 months; license-holder risk; hurricane EBITDA inflation; Florida licensing
23,B,High-quality analysis,Florida Health Care Association: Facts about long-term care in Florida,https://www.fhca.org/media_center/long_term_health_care_facts,AHCA data,"Florida: 691 licensed nursing homes, 3,080 licensed ALFs"
24,A,Primary,Florida Senate: SB 1874 (2018) bill analysis,https://www.flsenate.gov/Session/Bill/2018/1874/Analyses/2018s01874.pre.hp.PDF,,"Florida statute: emergency power and fuel for at least 96 hours (SB 1874, 2018)"
25,C,Industry reporting,WUSF: Fort Meade one step closer to Florida's first hyperscale AI data center,https://www.wusf.org/environment/2026-04-08/fort-meade-is-one-step-closer-to-building-floridas-first-hysperscale-ai-data-center,,"Fort Meade: 1.2 GW, 100% backup generation"
26,C,Industry reporting,Florida Data Centers: Every proposed data center in Florida,https://floridadatacenters.org/,"independent tracker, opposition-oriented",Florida project tracker: 5 of 8 tracked projects stopped; Fort Meade being sued
