id,tier,tier_meaning,title,url,note
1,C,Industry reporting,"agenticplug.ai: State of agentic commerce, protocol tracker",https://agenticplug.ai/current-state-of-agentic-commerce,Sep 2026
2,D,Vendor marketing or weak signal,Digital Applied: Who vouches for the bot? Agent checkout authentication,https://www.digitalapplied.com/blog/agent-checkout-authentication-card-networks-2026,Aug 2026
3,D,Vendor marketing or weak signal,Novadata: Shopify activates agentic storefronts in ChatGPT by default,https://novadata.io/resources/news/shopify-agentic-storefronts-chatgpt-default-2026,
4,C,Industry reporting,Distribution Strategy Group: Amazon Business deploys AI across procurement,https://distributionstrategy.com/2026/04/amazon-business-deploys-ai-across-procurement/,Apr 2026
5,C,Industry reporting,"Digital Commerce 360: Adobe, AI-referred traffic to retail sites doubles in a year",https://www.digitalcommerce360.com/2026/06/17/adobe-ai-referred-traffic-to-retail-sites-doubles-in-a-year/,Jun 2026
6,B,High-quality analysis,Adobe: AI traffic grows but retail sites lag in AI search visibility,https://business.adobe.com/blog/ai-traffic-surge-retail-sites-not-machine-readable,Apr 2026
7,B,High-quality analysis,"Gartner: Consumers want AI shopping help, but not AI purchase decisions",https://www.gartner.com/en/newsroom/press-releases/2026-05-27-gartner-survey-finds-consumers-want-ai-shopping-help-but-not-ai-purchase-decisions,May 2026
8,B,High-quality analysis,Global Payments: Consumers expect AI to make 15% of their purchases within five years,https://www.financialcontent.com/article/bizwire-2026-9-23-consumers-expect-ai-to-make-15-of-their-purchases-within-five-years-global-payments-research-finds,"Sep 2026, n=8,027"
9,B,High-quality analysis,Goodwin: Authorizing agentic payments,https://www.goodwinlaw.com/en/insights/publications/2026/06/insights-technology-aiml-authorizing-agentic-payments,Jun 2026
10,D,Vendor marketing or weak signal,Chargeflow: Agentic commerce regulation 2026,https://www.chargeflow.io/blog/agentic-commerce-regulation-what-merchants-need-to-know,
11,C,Industry reporting,"The Financial Brand: When an AI agent makes an incorrect purchase, who's responsible?",https://thefinancialbrand.com/news/payments-trends/when-ai-agents-make-incorrect-purchases-whos-responsible-197147,
12,B,High-quality analysis,Akamai: Commerce becomes the epicenter for AI bot attacks and agentic fraud,https://www.akamai.com/newsroom/press-release/akamai-research-commerce-becomes-the-epicenter-for-ai-bot-attacks-and-agentic-fraud-in-2026,Jul 2026
13,D,Vendor marketing or weak signal,AgentMarketCap: AI agent error insurance takes shape,https://agentmarketcap.ai/blog/2026/04/15/ai-agent-error-insurance-lloyds-aig-beazley-hallucination-liability,Apr 2026
14,D,Vendor marketing or weak signal,Trends.vc: Bill negotiation agents,https://trends.vc/bill-negotiation-agents-price-locks-playbook-moats-loyalty-penalty/,
15,C,Industry reporting,Search Engine Journal: Google search decline steepened to 40% for publishers (Chartbeat),https://www.searchenginejournal.com/google-search-decline-publishers-chartbeat/590681/,Sep 2026
16,D,Vendor marketing or weak signal,Thrive Agency: Top generative engine optimization agencies in 2026,https://thriveagency.com/news/10-top-generative-engine-optimization-geo-agencies-in-2026/,evidence of crowding
