n,tier,title,url
1,B,"BizBuySell Insight Report, Q2 2026",https://www.bizbuysell.com/insight-report/
2,C,"Sundance Financial: BizBuySell Q2 2026, three takeaways",https://sundancefg.com/resources/bizbuysell-q2-2026-insight-report
3,C,My Florida Business Broker: Business sales after two quarters of 2026,https://www.myfloridabusinessbroker.com/what-we-know-about-business-sales-after-two-quarters-of-2026/
4,B,Whiteford Taylor & Preston: SOP 50 10 8 key changes,https://www.whitefordlaw.com/news-events/client-alert-sba-issues-sop-50-10-8-key-changes-impacting-sba-7a-lending
5,C,Pioneer Capital Advisory: Investor equity under SOP 50 10 8.1 (cites SBA Info Notice 5000-880695),https://www.pioneercapitaladvisory.com/post/investor-equity-sba-7a-sop-50-10-8-1-new-rules-vs-old-rules
6,C,"FunderIntel: SOP 50 10 8.1, seven things before 1 October",https://www.funderintel.com/post/sba-sop-50-10-8-1-7-things-brokers-need-to-know-before-october-1
7,C,Cantrell Law Firm: New 2026 SBA rules for selling your business,https://cantrellfirm.com/blog/new-sba-acquisition-rules-sop-50-10-8-1/
8,C,Security Bank & Trust: SBA loan rules in 2026,https://www.security-banks.com/blog/everything-about-new-sba-sop
9,C,MMCG: How SOP 50 10 8 is reshaping deal structures,https://www.mmcginvest.com/post/sop-50-10-8-how-the-biggest-sba-lending-overhaul-in-five-years-is-reshaping-deal-structures
10,C,"Reins: Seller notes, standby and equity injection",https://www.myreins.com/blog/sba-changes-sop-50-10-8-update
11,C,Accredited: Is the Silver Tsunami real? The 2026 data,https://joinaccredited.com/blog/silver-tsunami-business-acquisitions
12,C,"Idea Financial, summarizing McKinsey Institute for Economic Mobility (2026)",https://www.ideafinancial.com/blog/the-silver-tsunami-is-here-what-the-biggest-business-transfer-in-american-history-means-for-you
13,A,SBA Office of Advocacy: Business ownership demographics,https://advocacy.sba.gov/wp-content/uploads/2021/03/Business-Ownership-Demographics-Fact-Sheet.pdf
14,A,"Census Bureau: Annual Business Survey owner characteristics, 2023 (county tables)",https://data.census.gov/table?d=ECNSVY+Annual+Business+Survey+Characteristics+of+Business+Owners
15,D,"East Coast Advisory Team: Valuation multiples by industry, 2026",https://www.eastcoastadvisoryteam.com/post/valuation-multiples-by-industry
16,D,"CT Acquisitions: M&A advisor in Tampa, 2026 guide",https://ctacquisitions.com/m-and-a-advisory/tampa/
17,D,Transworld Tampa (Michael Shea): Business broker in Tampa & St. Petersburg,https://www.yourfloridabusinessbroker.com/best-business-broker-in-tampa-st-petersburg/
18,D,"Lobo Business Sales: ""Sell my business Tampa"" searches up 40%",https://lobobusinesssales.com/blog/why-sell-my-business-tampa-searches-are-up-40-and-how-to-get-top-dollar-in-hillsborough-county
19,D,Sailfish Equity Advisors: Tampa business market report 2026,https://www.sailfishequityadvisors.com/florida-business-broker/tampa-business-market-report-2026
20,C,Capital Founders: Founder's guide to AI-enabled roll-ups,https://www.capitalfounders.io/playbooks/ai-enabled-roll-ups/
21,B,Forbes: Thrive Holdings to bet $1B on AI-powered accounting roll-up,https://www.forbes.com/sites/annatong/2026/06/02/thrive-holdings-to-bet-1-billion-on-ai-powered-accounting-roll-up/
22,C,"Footnote: Private equity and AI, the accounting firm roll-up",https://footnote.news/p/private-equity-bet-accounting-was-a-fortress-ai-is-lowering-the-walls
23,D,"Artifi: PE-backed accounting roll-ups, mapped",https://ar-ti-fi.com/blog/pe-backed-accounting-rollups
24,D,Jupid: Who is buying accounting firms in 2026,https://jupid.com/blog/who-is-buying-accounting-firms-2026
25,A,Florida Statutes §489.119: Business organizations; qualifying agents,https://www.flsenate.gov/laws/statutes/2024/489.119
26,C,"Douglas Law Firm: Termination of qualifier, construction and electrical",https://douglasfirm.com/construction-electrical-qualification-termination-of-qualifier/
27,D,Florida Commercial Contractor Authority: Qualifying agent rules,https://floridacommercialcontractorauthority.com/florida-contractor-qualifying-agent/
28,A,Florida Statutes §213.758: Transfer of tax liabilities,https://www.flsenate.gov/Laws/Statutes/2025/213.758
29,C,Farr Law Firm: Liability of business buyer for seller's taxes,https://farr.com/buyer-beware-liability-of-business-buyer-for-sellers-taxes/
